Date,Nifty 50_Open,Nifty 50_High,Nifty 50_Low,Nifty 50_Close,Nifty 50_Volume
03-08-2007,4355.8,4428.1,4355.8,4401.6,62860000
06-08-2007,4404.1,4404.1,4267.2,4339.5,63590000
07-08-2007,4341.5,4406.4,4341.5,4356.4,62460000
08-08-2007,4357.0,4472.2,4356.8,4462.1,68390000
09-08-2007,4462.3,4530.1,4390.8,4403.2,78450000
10-08-2007,4393.6,4395.5,4239.2,4333.4,81660000
13-08-2007,4324.7,4383.8,4324.7,4373.7,49070000
14-08-2007,4373.9,4394.3,4354.4,4370.2,43440000
16-08-2007,4366.0,4366.0,4171.2,4178.6,96560000
17-08-2007,4171.1,4171.1,4002.2,4108.1,135960000
20-08-2007,4109.0,4262.6,4109.0,4209.1,68780000
21-08-2007,4209.6,4238.1,4058.6,4074.9,75550000
22-08-2007,4081.3,4165.7,4040.2,4153.2,88280000
23-08-2007,4160.1,4249.9,4100.8,4115.0,94000000
24-08-2007,4113.1,4201.5,4110.1,4190.2,63180000
27-08-2007,4193.6,4310.0,4193.6,4302.6,62770000
28-08-2007,4302.4,4329.2,4280.6,4320.7,62000000
29-08-2007,4317.7,4368.6,4226.4,4359.3,85950000
30-08-2007,4360.4,4422.3,4359.8,4412.3,128100000
31-08-2007,4412.6,4471.3,4403.0,4464.0,83580000
03-09-2007,4466.7,4490.6,4452.4,4474.8,82240000
04-09-2007,4481.6,4501.3,4460.4,4479.3,72430000
05-09-2007,4479.6,4507.8,4458.6,4475.9,73800000
06-09-2007,4475.7,4522.5,4445.6,4518.6,60550000
07-09-2007,4518.7,4547.8,4499.9,4509.5,58010000
10-09-2007,4506.9,4515.3,4453.0,4507.9,68940000
11-09-2007,4509.7,4538.6,4487.2,4497.1,80050000
12-09-2007,4498.7,4531.5,4490.4,4496.9,66790000
13-09-2007,4498.1,4540.6,4498.1,4529.0,59330000
14-09-2007,4530.0,4582.6,4508.9,4518.0,71200000
17-09-2007,4518.5,4549.1,4482.9,4494.7,51250000
18-09-2007,4494.1,4551.8,4481.6,4546.2,56390000
19-09-2007,4550.3,4739.0,4550.3,4732.4,108520000
20-09-2007,4734.9,4760.9,4721.2,4747.6,93970000
21-09-2007,4753.0,4855.7,4733.7,4837.6,161390000
24-09-2007,4837.2,4941.2,4837.2,4932.2,147580000
25-09-2007,4939.1,4953.9,4878.2,4938.9,140290000
26-09-2007,4937.6,4980.9,4930.4,4940.5,117670000
27-09-2007,4942.7,5016.4,4942.7,5000.6,172140000
28-09-2007,4996.5,5055.8,4996.5,5021.4,137760000
01-10-2007,5021.5,5089.3,5001.4,5069.0,132210000
03-10-2007,5069.0,5261.4,5034.2,5210.8,187720000
04-10-2007,5211.7,5233.1,5126.1,5208.7,127310000
05-10-2007,5208.2,5248.6,5164.5,5185.9,93290000
08-10-2007,5186.3,5249.3,5024.8,5085.1,111430000
09-10-2007,5062.7,5348.7,5001.0,5327.3,139860000
10-10-2007,5328.2,5454.7,5328.2,5441.5,184940000
11-10-2007,5438.9,5532.8,5424.3,5524.9,130840000
12-10-2007,5525.3,5549.3,5402.6,5428.3,174470000
15-10-2007,5428.4,5682.7,5419.9,5670.4,160990000
16-10-2007,5670.7,5708.4,5578.5,5668.1,174110000
17-10-2007,5658.9,5658.9,5107.3,5559.3,186850000
18-10-2007,5551.1,5736.8,5269.7,5351.0,202750000
19-10-2007,5360.4,5390.9,5101.8,5215.3,181010000
22-10-2007,5202.8,5247.4,5070.9,5184.0,131800000
23-10-2007,5185.3,5488.5,5176.9,5473.7,145840000
24-10-2007,5477.6,5577.9,5419.4,5496.2,166880000
25-10-2007,5499.1,5606.0,5469.3,5569.0,188740000
26-10-2007,5564.3,5716.9,5513.4,5702.3,164400000
29-10-2007,5708.9,5922.5,5708.9,5905.9,173580000
30-10-2007,5917.6,5976.0,5833.9,5868.8,176830000
31-10-2007,5868.9,5952.3,5861.3,5900.7,168160000
01-11-2007,5903.8,6012.0,5837.2,5866.5,270200000
02-11-2007,5854.9,5944.8,5714.3,5932.4,164840000
05-11-2007,5931.9,5948.6,5819.6,5847.3,169010000
06-11-2007,5847.1,5957.2,5760.0,5786.5,244850000
07-11-2007,5782.4,5861.4,5744.3,5782.4,171690000
08-11-2007,5779.3,5780.8,5646.8,5698.8,141330000
09-11-2007,5703.5,5794.2,5614.9,5663.3,213900000
12-11-2007,5660.6,5660.6,5477.5,5617.1,138680000
13-11-2007,5612.4,5758.9,5591.6,5695.4,156340000
14-11-2007,5704.0,5950.2,5700.1,5937.9,173240000
15-11-2007,5942.7,5967.0,5895.7,5912.1,146640000
16-11-2007,5913.2,5948.1,5817.4,5906.9,129790000
19-11-2007,5908.1,5981.8,5893.8,5907.7,104830000
20-11-2007,5911.3,5923.7,5755.8,5780.9,127220000
21-11-2007,5778.8,5790.1,5530.9,5561.1,129730000
22-11-2007,5564.7,5608.7,5394.4,5519.4,149030000
23-11-2007,5524.3,5638.6,5514.8,5608.6,102010000
26-11-2007,5611.3,5772.6,5609.0,5731.7,127100000
27-11-2007,5729.3,5743.6,5655.6,5698.2,96310000
28-11-2007,5699.6,5750.0,5595.5,5617.6,97580000
29-11-2007,5617.8,5725.0,5612.1,5634.6,301030000
30-11-2007,5633.9,5782.6,5632.7,5762.8,170460000
03-12-2007,5765.5,5878.8,5754.6,5865.0,111920000
04-12-2007,5870.2,5897.3,5840.3,5858.4,107500000
05-12-2007,5861.9,5949.3,5860.0,5940.0,120150000
06-12-2007,5941.1,6027.1,5919.8,5954.7,154950000
07-12-2007,5963.6,6042.1,5894.8,5974.3,123110000
10-12-2007,5974.0,6015.3,5923.4,5960.6,86340000
11-12-2007,5960.4,6111.2,5960.4,6097.3,115310000
12-12-2007,6067.1,6175.7,6005.5,6159.3,130760000
